audio_id,audio_path,speaker_id,source_original_split,source_project_split,source_is_valid,rejection_reason,source_transcript
10137,data/audio/train-115/af92d69ea7b95fb35d777b9c2423f020.wav,5cf03d69b094d700013e4d54,train,UNUSED,False,low_volume,gọi mẹ
10157,data/audio/dev/99ee2e2801b919410f5598e1d5ae456d.wav,655022ac88df62f61f5b47a6,validation,UNUSED,False,low_volume,bạn có thể chỉ cách công thức nấu mì ý
10367,data/audio/dev/82656382049376301174a2d881ac4db0.wav,5e4247e718b8910d4a2b9a34,validation,SVM,False,low_volume,bạn có thể đóng vai kẻ địch trong game coc không
10424,data/audio/dev/35f7acb47d934efbd410d673be178ca5.wav,5fb84feecf0626000b30cbd3,validation,SVM,False,low_volume,liệt kê các mục trong danh sách mua sắm của tôi olly
10452,data/audio/train-115/d2c639eeec1c9049ab61cf3551cfda62.wav,65718bf0ad0f780a67a20790,train,UNUSED,False,low_volume,bỏ bánh mì ra khỏi danh sách mua sắm
1100,data/audio/train-115/b6183a1c39fe27478e903d5471695d9d.wav,659ea35db097ea3c414b04c0,train,UNUSED,False,low_volume,bạn hôm nay thế nào
11048,data/audio/train-115/d3c86159f901c0e0252d7accd290da80.wav,65718bf0ad0f780a67a20790,train,UNUSED,False,low_volume,danh sách của tôi ở đâu
11178,data/audio/dev/46cefdc45ae3c1d147e3466643df9e5f.wav,6573b7471b56f7fc59a7df63,validation,VALIDATION,False,low_volume,tạo một danh sách cho tạp hóa cần mua hàng tháng
11374,data/audio/dev/df176441868ebad1bc973aae0bac5111.wav,6549198eec431d4a6768a13e,validation,VALIDATION,False,low_volume,lên phía trước làm ơn
11399,data/audio/dev/de3231737251274360415626b96c6892.wav,5fb84feecf0626000b30cbd3,validation,SVM,False,low_volume,bỏ qua đến bài tiếp theo
11440,data/audio/dev/3b61b4d34b5301387b5a3aa67dcbfacb.wav,5fb84feecf0626000b30cbd3,validation,SVM,False,low_volume,phát tập tiếp theo
1155,data/audio/train-115/1e3fb8cc6f1f9d92674f0ef67ba63aa9.wav,65718bf0ad0f780a67a20790,train,UNUSED,False,low_volume,tắt đèn trong phòng ngủ
11708,data/audio/dev/d896d382e191f50d4fb642ba261e5b33.wav,5fb84feecf0626000b30cbd3,validation,SVM,False,low_volume,cửa hàng xe đạp tốt ở đà nẵng
11893,data/audio/train-115/83e363ece538bbd48f645452ee1209b4.wav,659ea35db097ea3c414b04c0,train,UNUSED,False,low_volume,các sự kiện diễn ra cuối tuần này
