audio_id,audio_path,original_split,project_split,locale,speaker_id,normalized_speaker_id,speaker_sex,speaker_age,transcript,annot_utt,tokens,labels,intent_idx,intent,scenario_str,duration_sec,sample_rate,num_channels,is_valid,protocol,role,checksum,dataset_type,split_role,split_name
15725,dev/3ad59c437df9f88fb73aa7836be03236.wav,validation,SVM,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,tôi muốn đăng một trạng thái trên twitter,tôi muốn đăng một trạng thái trên [media_type : twitter],['tôi' 'muốn' 'đăng' 'một' 'trạng' 'thái' 'trên' 'twitter'],['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'media_type'],47,social_post,social,2.58,48000,1,True,SVM_CLOSED_SET,SVM_EXPERIMENTAL,54dd762665a7b4b1ab3c79292e78022bdaff86cb8b8c5fe86a0cff3d1b969a2b,SVM_CLOSED_SET,ENROLLMENT,svm_closed_set_enrollment
8372,dev/9bb610ed02974acd847eb7730f910235.wav,validation,SVM,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,này siri chắc chắn rằng lịch của tôi hoàn toàn rõ ràng vào ngày mai,này siri chắc chắn rằng lịch của tôi hoàn toàn rõ ràng vào [date : ngày mai],"['này' 'siri' 'chắc' 'chắn' 'rằng' 'lịch' 'của' 'tôi' 'hoàn' 'toàn' 'rõ'
 'ràng' 'vào' 'ngày' 'mai']","['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'
 'Other' 'Other' 'Other' 'Other' 'date' 'date']",30,calendar_remove,calendar,5.1,48000,1,True,SVM_CLOSED_SET,SVM_EXPERIMENTAL,b48193af5e64eab3da8fef115833f4165598a0219e4fd4fb1cb725f2b0cbbd85,SVM_CLOSED_SET,ENROLLMENT,svm_closed_set_enrollment
16570,dev/c49416ed116437e83d89d9319a2736d8.wav,validation,SVM,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,gửi email đến tất cả nhân viên công ty tôi,gửi email đến tất cả [relation : nhân viên] công ty tôi,['gửi' 'email' 'đến' 'tất' 'cả' 'nhân' 'viên' 'công' 'ty' 'tôi'],"['Other' 'Other' 'Other' 'Other' 'Other' 'relation' 'relation' 'Other'
 'Other' 'Other']",33,email_sendemail,email,3.72,48000,1,True,SVM_CLOSED_SET,SVM_EXPERIMENTAL,3f50433277c1b044058d5520ff9d09b89560ab054f86c15d891513c0b300948a,SVM_CLOSED_SET,ENROLLMENT,svm_closed_set_enrollment
8072,dev/5db14ad2feaa9a898249d89e643cedc0.wav,validation,SVM,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,tôi có một cuộc hẹn hò vào thứ sáu phải không,tôi có một cuộc hẹn hò vào [date : thứ sáu] phải không,['tôi' 'có' 'một' 'cuộc' 'hẹn' 'hò' 'vào' 'thứ' 'sáu' 'phải' 'không'],"['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'date' 'date'
 'Other' 'Other']",32,calendar_query,calendar,4.5,48000,1,True,SVM_CLOSED_SET,SVM_EXPERIMENTAL,c22c7d304ae743e31e158618be88002e96c2b4415e0c0b0ee9515e55eef25042,SVM_CLOSED_SET,ENROLLMENT,svm_closed_set_enrollment
13384,dev/2c8a885c31eb6345db91d90158c2347d.wav,validation,SVM,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,chủ tịch thành phố cần thơ là ai,chủ tịch thành phố [place_name : cần thơ] là ai,['chủ' 'tịch' 'thành' 'phố' 'cần' 'thơ' 'là' 'ai'],['Other' 'Other' 'Other' 'Other' 'place_name' 'place_name' 'Other' 'Other'],49,qa_factoid,qa,2.46,48000,1,True,SVM_CLOSED_SET,SVM_EXPERIMENTAL,d3fbfbf010c3c65e711f0938b6b61a881217193debf74e7d7e94a6f23e3e66ff,SVM_CLOSED_SET,ENROLLMENT,svm_closed_set_enrollment
4723,dev/4eccc049a8c90a634134b2d36147cdac.wav,validation,SVM,vi-VN,6537e43c008bb605430a302f,exp_svm_spk_0002,Female,29,liệt kê báo thức khác của tôi,liệt kê báo thức khác của tôi,['liệt' 'kê' 'báo' 'thức' 'khác' 'của' 'tôi'],['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'],23,alarm_query,alarm,2.28,48000,1,True,SVM_CLOSED_SET,SVM_EXPERIMENTAL,d3732778358cf3c162e7f264f6d9a848af730c4640e81488bd19808f79a1b794,SVM_CLOSED_SET,ENROLLMENT,svm_closed_set_enrollment
10666,dev/b0fccb95306b4e99de9c54c49f1d4588.wav,validation,SVM,vi-VN,6537e43c008bb605430a302f,exp_svm_spk_0002,Female,29,đọc danh sách,đọc danh sách,['đọc' 'danh' 'sách'],['Other' 'Other' 'Other'],59,lists_query,lists,1.8,48000,1,True,SVM_CLOSED_SET,SVM_EXPERIMENTAL,c5f28b146f7a9398560b1406300b301956cc035c7257864b2e949ca64f6c0edb,SVM_CLOSED_SET,ENROLLMENT,svm_closed_set_enrollment
10924,dev/3e5c690b3011dada2171a0c847b88237.wav,validation,SVM,vi-VN,6537e43c008bb605430a302f,exp_svm_spk_0002,Female,29,xoá cuộc họp sáng thứ tư,xoá cuộc họp [timeofday : sáng] [date : thứ tư],['xoá' 'cuộc' 'họp' 'sáng' 'thứ' 'tư'],['Other' 'Other' 'Other' 'timeofday' 'date' 'date'],30,calendar_remove,calendar,1.38,48000,1,True,SVM_CLOSED_SET,SVM_EXPERIMENTAL,091cb7c3b0665366db184a7a21350360a487a5b88df8d911cbaaa836a1691ae1,SVM_CLOSED_SET,ENROLLMENT,svm_closed_set_enrollment
12352,dev/f59478315ad2f5b86c568c864cedb767.wav,validation,SVM,vi-VN,6537e43c008bb605430a302f,exp_svm_spk_0002,Female,29,đặt một chiếc taxi đi đến sân bay vào buổi sáng ngày mai,đặt một chiếc [transport_type : taxi] đi đến [place_name : sân bay] vào [timeofday : buổi sáng] [date : ngày mai],"['đặt' 'một' 'chiếc' 'taxi' 'đi' 'đến' 'sân' 'bay' 'vào' 'buổi' 'sáng'
 'ngày' 'mai']","['Other' 'Other' 'Other' 'transport_type' 'Other' 'Other' 'place_name'
 'place_name' 'Other' 'timeofday' 'timeofday' 'date' 'date']",54,transport_taxi,transport,3.54,48000,1,True,SVM_CLOSED_SET,SVM_EXPERIMENTAL,f561162b1f02bad1fba7122967dcebae37a21de6e3ded9058305a796e49d049e,SVM_CLOSED_SET,ENROLLMENT,svm_closed_set_enrollment
12715,dev/8a6095d09fb3ebe2acf66df78da8af24.wav,validation,SVM,vi-VN,6537e43c008bb605430a302f,exp_svm_spk_0002,Female,29,gọi một taxi đến đón tôi ngay,gọi một [transport_type : taxi] đến đón tôi ngay,['gọi' 'một' 'taxi' 'đến' 'đón' 'tôi' 'ngay'],['Other' 'Other' 'transport_type' 'Other' 'Other' 'Other' 'Other'],54,transport_taxi,transport,1.56,48000,1,True,SVM_CLOSED_SET,SVM_EXPERIMENTAL,5dc2047f4e8f44fb6a6f5730b6a9efe8499b9d7f17d626ed717294cd097ff5f9,SVM_CLOSED_SET,ENROLLMENT,svm_closed_set_enrollment
