recording_id,command_id,split,expected_transcript,intent,speaker_id,audio_path,sample_rate,channels,duration_sec,recorded_at,recording_device,status,notes
REC_VAL0001,VAL0001,validation,Xin hỏi bây giờ là mấy giờ?,GET_TIME,cmdspk01,data/commands/audio/validation/REC_VAL0001_cmdspk01.wav,16000,1,3.146,2026-07-30T17:03:24+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_VAL0002,VAL0002,validation,Bạn báo giờ hiện tại giúp mình.,GET_TIME,cmdspk01,data/commands/audio/validation/REC_VAL0002_cmdspk01.wav,16000,1,3.380,2026-07-30T17:03:32+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_VAL0003,VAL0003,validation,Cho tôi biết hiện tại là mấy giờ.,GET_TIME,cmdspk01,data/commands/audio/validation/REC_VAL0003_cmdspk01.wav,16000,1,2.652,2026-07-30T17:03:40+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_VAL0004,VAL0004,validation,Đọc cho tôi giờ hiện tại.,GET_TIME,cmdspk01,data/commands/audio/validation/REC_VAL0004_cmdspk01.wav,16000,1,2.938,2026-07-30T17:03:47+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_VAL0005,VAL0005,validation,Hiện tại thời gian là bao nhiêu?,GET_TIME,cmdspk01,data/commands/audio/validation/REC_VAL0005_cmdspk01.wav,16000,1,2.574,2026-07-30T17:03:57+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_VAL0006,VAL0006,validation,Xem lịch học hôm nay của tôi.,VIEW_SCHEDULE,cmdspk01,data/commands/audio/validation/REC_VAL0006_cmdspk01.wav,16000,1,2.652,2026-07-30T17:04:05+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_VAL0007,VAL0007,validation,Hãy mở lịch ngày mai.,VIEW_SCHEDULE,cmdspk01,data/commands/audio/validation/REC_VAL0007_cmdspk01.wav,16000,1,1.872,2026-07-30T17:04:13+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_VAL0008,VAL0008,validation,Kiểm tra thời khóa biểu thứ tư.,VIEW_SCHEDULE,cmdspk01,data/commands/audio/validation/REC_VAL0008_cmdspk01.wav,16000,1,2.236,2026-07-30T17:04:20+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_VAL0009,VAL0009,validation,Ngày kia tôi có buổi học gì?,VIEW_SCHEDULE,cmdspk01,data/commands/audio/validation/REC_VAL0009_cmdspk01.wav,16000,1,2.808,2026-07-30T17:04:29+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_VAL0010,VAL0010,validation,Hiển thị lịch của mình thứ bảy.,VIEW_SCHEDULE,cmdspk01,data/commands/audio/validation/REC_VAL0010_cmdspk01.wav,16000,1,2.782,2026-07-30T17:04:37+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_VAL0011,VAL0011,validation,Thêm lịch học sâu lúc 7 giờ sáng ngày mai.,ADD_SCHEDULE,cmdspk02,data/commands/audio/validation/REC_VAL0011_cmdspk02.wav,16000,1,3.978,2026-08-04T09:02:59+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0012,VAL0012,validation,Tạo lịch làm đồ án lúc 4 giờ chiều ngày kia.,ADD_SCHEDULE,cmdspk02,data/commands/audio/validation/REC_VAL0012_cmdspk02.wav,16000,1,3.614,2026-08-04T09:03:09+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0013,VAL0013,validation,Đặt cuộc hẹn trao đổi bài lúc 10h30 thứ năm.,ADD_SCHEDULE,cmdspk02,data/commands/audio/validation/REC_VAL0013_cmdspk02.wav,16000,1,4.706,2026-08-04T09:03:18+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0014,VAL0014,validation,Nhắc tôi nộp bài lúc 11 giờ tối nay.,ADD_SCHEDULE,cmdspk02,data/commands/audio/validation/REC_VAL0014_cmdspk02.wav,16000,1,4.238,2026-08-04T09:03:27+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0015,VAL0015,validation,Lập lịch ôn thi lúc chín giờ sáng thứ hai.,ADD_SCHEDULE,cmdspk02,data/commands/audio/validation/REC_VAL0015_cmdspk02.wav,16000,1,4.264,2026-08-04T09:03:39+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0016,VAL0016,validation,Xin mở ghi chú bảo mật của tôi.,VIEW_PRIVATE_NOTE,cmdspk02,data/commands/audio/validation/REC_VAL0016_cmdspk02.wav,16000,1,3.692,2026-08-04T09:03:48+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0017,VAL0017,validation,Cho tôi đọc ghi chú cá nhân.,VIEW_PRIVATE_NOTE,cmdspk02,data/commands/audio/validation/REC_VAL0017_cmdspk02.wav,16000,1,2.938,2026-08-04T09:04:00+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0018,VAL0018,validation,Hiển thị ghi chú riêng tư mới nhất.,VIEW_PRIVATE_NOTE,cmdspk02,data/commands/audio/validation/REC_VAL0018_cmdspk02.wav,16000,1,3.068,2026-08-04T09:04:07+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0019,VAL0019,validation,Xem note bảo mật của tôi.,VIEW_PRIVATE_NOTE,cmdspk02,data/commands/audio/validation/REC_VAL0019_cmdspk02.wav,16000,1,2.834,2026-08-04T09:04:15+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0020,VAL0020,validation,Đọc note riêng tư.,VIEW_PRIVATE_NOTE,cmdspk02,data/commands/audio/validation/REC_VAL0020_cmdspk02.wav,16000,1,2.262,2026-08-04T09:04:24+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0021,VAL0021,validation,Phát bài hát yêu thích.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/validation/REC_VAL0021_cmdspk03.wav,16000,1,2.392,2026-08-04T13:30:53+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0022,VAL0022,validation,Ngày mai có nắng không?,OUT_OF_SCOPE,cmdspk03,data/commands/audio/validation/REC_VAL0022_cmdspk03.wav,16000,1,2.262,2026-08-04T13:31:01+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0023,VAL0023,validation,Tóm tắt chương một cho tôi.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/validation/REC_VAL0023_cmdspk03.wav,16000,1,2.002,2026-08-04T13:31:08+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0024,VAL0024,validation,Viết email cho giảng viên.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/validation/REC_VAL0024_cmdspk03.wav,16000,1,2.106,2026-08-04T13:31:15+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0025,VAL0025,validation,Đặt báo thức lúc 6 giờ sáng.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/validation/REC_VAL0025_cmdspk03.wav,16000,1,2.756,2026-08-04T13:31:22+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0026,VAL0026,validation,Máy học là gì?,OUT_OF_SCOPE,cmdspk03,data/commands/audio/validation/REC_VAL0026_cmdspk03.wav,16000,1,1.378,2026-08-04T13:31:29+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0027,VAL0027,validation,Xem điểm thi của tôi.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/validation/REC_VAL0027_cmdspk03.wav,16000,1,1.716,2026-08-04T13:31:35+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0028,VAL0028,validation,Đọc tin tức hôm nay.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/validation/REC_VAL0028_cmdspk03.wav,16000,1,1.612,2026-08-04T13:31:42+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0029,VAL0029,validation,Bạn tên là gì?,OUT_OF_SCOPE,cmdspk03,data/commands/audio/validation/REC_VAL0029_cmdspk03.wav,16000,1,1.326,2026-08-04T13:31:47+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_VAL0030,VAL0030,validation,Thêm một việc vào danh sách.,OUT_OF_SCOPE,cmdspk03,data/commands/audio/validation/REC_VAL0030_cmdspk03.wav,16000,1,2.054,2026-08-04T13:31:54+07:00,Microphone (Realtek(R) Audio),recorded,Do not use for Speaker model training
REC_TST0001,TST0001,test,Xin cho tôi biết bây giờ mấy giờ rồi.,GET_TIME,cmdspk01,data/commands/audio/test/REC_TST0001_cmdspk01.wav,16000,1,3.146,2026-07-30T17:05:02+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0002,TST0002,test,Bạn hãy báo giờ hiện tại.,GET_TIME,cmdspk01,data/commands/audio/test/REC_TST0002_cmdspk01.wav,16000,1,2.444,2026-07-30T17:05:10+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0003,TST0003,test,Đọc thời gian hiện tại giúp mình.,GET_TIME,cmdspk01,data/commands/audio/test/REC_TST0003_cmdspk01.wav,16000,1,2.626,2026-07-30T17:05:20+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0004,TST0004,test,Hiện tại chính xác là mấy giờ?,GET_TIME,cmdspk01,data/commands/audio/test/REC_TST0004_cmdspk01.wav,16000,1,2.704,2026-07-30T17:05:28+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0005,TST0005,test,Bây giờ thời gian thế nào?,GET_TIME,cmdspk01,data/commands/audio/test/REC_TST0005_cmdspk01.wav,16000,1,2.132,2026-07-30T17:05:35+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0006,TST0006,test,Hãy xem lịch của tôi hôm nay.,VIEW_SCHEDULE,cmdspk01,data/commands/audio/test/REC_TST0006_cmdspk01.wav,16000,1,2.184,2026-07-30T17:05:42+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0007,TST0007,test,Mở thời khóa biểu ngày kia giúp mình.,VIEW_SCHEDULE,cmdspk01,data/commands/audio/test/REC_TST0007_cmdspk01.wav,16000,1,2.704,2026-07-30T17:05:49+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0008,TST0008,test,Đọc lịch học vào thứ năm.,VIEW_SCHEDULE,cmdspk01,data/commands/audio/test/REC_TST0008_cmdspk01.wav,16000,1,3.120,2026-07-30T17:05:57+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
REC_TST0009,TST0009,test,Ngày mai mình có buổi gì?,VIEW_SCHEDULE,cmdspk01,data/commands/audio/test/REC_TST0009_cmdspk01.wav,16000,1,2.938,2026-07-30T17:06:09+07:00,Microphone Array (Intel® Smart ,recorded,Do not use for Speaker model training
