audio_id,audio_path,original_split,project_split,locale,speaker_id,normalized_speaker_id,speaker_sex,speaker_age,transcript,annot_utt,tokens,labels,intent_idx,intent,scenario_str,duration_sec,sample_rate,num_channels,is_valid,protocol,role,checksum
9702,train-115/4dcf89cc7708ffe6339d97afd4da24f5.wav,train,UNUSED,vi-VN,657c8d982832af573ef2c039,,Female,34,tôi muốn nghe một quyển sách bởi la quán trung,tôi muốn nghe một quyển sách bởi [audiobook_author : la quán trung],['tôi' 'muốn' 'nghe' 'một' 'quyển' 'sách' 'bởi' 'la' 'quán' 'trung'],"['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'
 'audiobook_author' 'audiobook_author' 'audiobook_author']",20,play_audiobook,play,4.68,48000,1,True,,,
9671,train-115/2d48e259c29bdbf2039edfddad79cb61.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,bắt đầu phát tam quốc diễn nghĩa ở chỗ mà tôi dừng lại lần trước,[player_setting : bắt đầu phát] [audiobook_name : tam quốc diễn nghĩa] ở chỗ mà tôi dừng lại lần trước,"['bắt' 'đầu' 'phát' 'tam' 'quốc' 'diễn' 'nghĩa' 'ở' 'chỗ' 'mà' 'tôi'
 'dừng' 'lại' 'lần' 'trước']","['player_setting' 'player_setting' 'player_setting' 'audiobook_name'
 'audiobook_name' 'audiobook_name' 'audiobook_name' 'Other' 'Other'
 'Other' 'Other' 'Other' 'Other' 'Other' 'Other']",20,play_audiobook,play,4.56,48000,1,True,,,
10249,train-115/81da41ae4fbf09485ad6a4214439f9d0.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,hãy chơi một ván trivia,hãy chơi một ván [game_name : trivia],['hãy' 'chơi' 'một' 'ván' 'trivia'],['Other' 'Other' 'Other' 'Other' 'game_name'],51,play_game,play,3.24,48000,1,True,,,
3854,train-115/2866444482800feff8590246b56cd245.wav,train,UNUSED,vi-VN,657c8d982832af573ef2c039,,Female,34,tắt loa làm ơn,tắt loa làm ơn,['tắt' 'loa' 'làm' 'ơn'],['Other' 'Other' 'Other' 'Other'],46,audio_volume_mute,audio,2.58,48000,1,True,,,
12053,train-115/ddd9fc1eee9336973c9de546c7af4794.wav,train,UNUSED,vi-VN,659ea35db097ea3c414b04c0,,Female,31,các bộ phim được đánh giá cao đang chiếu cuối tuần này,các bộ phim được đánh giá cao đang chiếu [date : cuối tuần này],"['các' 'bộ' 'phim' 'được' 'đánh' 'giá' 'cao' 'đang' 'chiếu' 'cuối' 'tuần'
 'này']","['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'
 'date' 'date' 'date']",55,recommendation_movies,recommendation,4.38,48000,1,True,,,
15316,train-115/8fdd0d258a266a1357f1c761ebb8dc24.wav,train,UNUSED,vi-VN,65a242d84b379f4cebea1b21,,Male,24,chị tôi mới có em bé,[relation : chị] tôi mới có [relation : em bé],['chị' 'tôi' 'mới' 'có' 'em' 'bé'],['relation' 'Other' 'Other' 'Other' 'relation' 'relation'],47,social_post,social,3.18,48000,1,True,,,
1986,train-115/2b7735963194727f6be5f50d5db97cad.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,chỉnh mức trung bình của thiết bị,chỉnh mức [change_amount : trung bình] của thiết bị,['chỉnh' 'mức' 'trung' 'bình' 'của' 'thiết' 'bị'],['Other' 'Other' 'change_amount' 'change_amount' 'Other' 'Other' 'Other'],29,audio_volume_other,audio,2.52,48000,1,True,,,
3948,train-115/36d3ce186ec4b08d21b1c0c0dfff44dd.wav,train,UNUSED,vi-VN,65718bf0ad0f780a67a20790,,Male,24,tôi cần bạn cài một báo thức,tôi cần bạn cài một báo thức,['tôi' 'cần' 'bạn' 'cài' 'một' 'báo' 'thức'],['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'],48,alarm_set,alarm,2.58,48000,1,True,,,
16274,train-115/1b9a1e1db8381be632edbc148bd0d200.wav,train,UNUSED,vi-VN,5e25be7c5514e680ef436338,,Female,33,làm mới hộp thư thư điện tử,làm mới [email_folder : hộp thư] thư điện tử,['làm' 'mới' 'hộp' 'thư' 'thư' 'điện' 'tử'],['Other' 'Other' 'email_folder' 'email_folder' 'Other' 'Other' 'Other'],44,email_query,email,3.66,48000,1,True,,,
13488,train-115/edb637f38307436f00c5458dfc4a76e7.wav,train,UNUSED,vi-VN,5cf03d69b094d700013e4d54,,Female,31,olly tôi có thể dùng đường nâu thay vì đường trắng trong bánh quy bơ đậu phộng được không,olly tôi có thể dùng [food_type : đường nâu] thay vì đường trắng trong [food_type : bánh quy bơ đậu phộng] được không,"['olly' 'tôi' 'có' 'thể' 'dùng' 'đường' 'nâu' 'thay' 'vì' 'đường' 'trắng'
 'trong' 'bánh' 'quy' 'bơ' 'đậu' 'phộng' 'được' 'không']","['Other' 'Other' 'Other' 'Other' 'Other' 'food_type' 'food_type' 'Other'
 'Other' 'Other' 'Other' 'Other' 'food_type' 'food_type' 'food_type'
 'food_type' 'food_type' 'Other' 'Other']",37,cooking_query,cooking,7.38,48000,1,True,,,
