audio_id,audio_path,original_split,project_split,locale,speaker_id,normalized_speaker_id,speaker_sex,speaker_age,transcript,annot_utt,tokens,labels,intent_idx,intent,scenario_str,duration_sec,sample_rate,num_channels,is_valid,protocol,role,checksum,split_name
741,dev/57bc2094dbb5be917aedffa4c68db490.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,phát các bài hát từ r. b. và soul genre,phát các bài hát từ [artist_name : r. b.] và [music_genre : soul] genre,['phát' 'các' 'bài' 'hát' 'từ' 'r.' 'b.' 'và' 'soul' 'genre'],"['Other' 'Other' 'Other' 'Other' 'Other' 'artist_name' 'artist_name'
 'Other' 'music_genre' 'Other']",45,play_music,play,5.04,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
5015,dev/b380d2d7245b37ce8d41a74bec397c21.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,vui lòng cho tôi biết tin tức mới nhất về tình hình bầu cử ở bang của chúng ta,vui lòng cho tôi biết tin tức mới nhất về [news_topic : tình hình bầu cử] ở [place_name : bang] của chúng ta,"['vui' 'lòng' 'cho' 'tôi' 'biết' 'tin' 'tức' 'mới' 'nhất' 'về' 'tình'
 'hình' 'bầu' 'cử' 'ở' 'bang' 'của' 'chúng' 'ta']","['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'
 'Other' 'news_topic' 'news_topic' 'news_topic' 'news_topic' 'Other'
 'place_name' 'Other' 'Other' 'Other']",22,news_query,news,5.28,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
12373,dev/bac5ec3d93361cb00414e28a69c93428.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,hãy đặt một chiếc taxi,hãy đặt một chiếc [transport_type : taxi],['hãy' 'đặt' 'một' 'chiếc' 'taxi'],['Other' 'Other' 'Other' 'Other' 'transport_type'],54,transport_taxi,transport,1.68,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
8089,dev/05228e8a019a7e501eb60cb95d1e268d.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,khi nào họp,khi nào [event_name : họp],['khi' 'nào' 'họp'],['Other' 'Other' 'event_name'],50,calendar_set,calendar,1.02,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
15812,dev/4d800a3427af226cb32deb00e0428a6a.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,olly tôi muốn biết về buổi tiệc của mai,olly tôi muốn biết về [event_name : buổi tiệc] của [person : mai],['olly' 'tôi' 'muốn' 'biết' 'về' 'buổi' 'tiệc' 'của' 'mai'],"['Other' 'Other' 'Other' 'Other' 'Other' 'event_name' 'event_name' 'Other'
 'person']",12,general_quirky,general,3.24,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
8729,dev/e60ad97187b5f507b758996cfddbfa79.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,đặt lời nhắc cho một cuộc hẹn hằng tuần,đặt lời nhắc cho một cuộc hẹn [general_frequency : hằng tuần],['đặt' 'lời' 'nhắc' 'cho' 'một' 'cuộc' 'hẹn' 'hằng' 'tuần'],"['Other' 'Other' 'Other' 'Other' 'Other' 'Other' 'Other'
 'general_frequency' 'general_frequency']",50,calendar_set,calendar,2.4,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
15545,dev/33feee9815f799fd26161a6a6a389335.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,nhắc tôi tweet tại công ty này,nhắc tôi [media_type : tweet] tại công ty này,['nhắc' 'tôi' 'tweet' 'tại' 'công' 'ty' 'này'],['Other' 'Other' 'media_type' 'Other' 'Other' 'Other' 'Other'],50,calendar_set,calendar,2.46,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
16991,dev/8649b7fbe11a970176d7a92d24af9696.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,kiểm tra email của trần văn dũng,kiểm tra email của [person : trần văn dũng],['kiểm' 'tra' 'email' 'của' 'trần' 'văn' 'dũng'],['Other' 'Other' 'Other' 'Other' 'person' 'person' 'person'],44,email_query,email,3.12,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
10238,dev/844785be622dad1c6d78af25cc6fe2ef.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,tìm công thức gà nấu ragu,tìm công thức [food_type : gà nấu ragu],['tìm' 'công' 'thức' 'gà' 'nấu' 'ragu'],['Other' 'Other' 'Other' 'food_type' 'food_type' 'food_type'],9,cooking_recipe,cooking,3.42,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
9215,dev/db6f3eda8ca1bf3d1bf4fd4afacf690f.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,mở radio viet nam phát nhạc rock,mở [app_name : radio viet nam] phát nhạc [music_genre : rock],['mở' 'radio' 'viet' 'nam' 'phát' 'nhạc' 'rock'],['Other' 'app_name' 'app_name' 'app_name' 'Other' 'Other' 'music_genre'],36,play_radio,play,2.7,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
4481,dev/eb2ff25796a03d98d92ccc1f5735652e.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,tôi sẽ có thể mặc đồ ngắn hôm nay phải không,tôi sẽ có thể mặc [weather_descriptor : đồ ngắn] [date : hôm nay] phải không,['tôi' 'sẽ' 'có' 'thể' 'mặc' 'đồ' 'ngắn' 'hôm' 'nay' 'phải' 'không'],"['Other' 'Other' 'Other' 'Other' 'Other' 'weather_descriptor'
 'weather_descriptor' 'date' 'date' 'Other' 'Other']",13,weather_query,weather,3.36,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
9123,dev/67d6a7710b97d2fe4493945163b2ec64.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,thêm chuyến đi thăm chị của tôi vào lịch gia đình,thêm [event_name : chuyến đi thăm chị] của tôi vào lịch [event_name : gia đình],['thêm' 'chuyến' 'đi' 'thăm' 'chị' 'của' 'tôi' 'vào' 'lịch' 'gia' 'đình'],"['Other' 'event_name' 'event_name' 'event_name' 'event_name' 'Other'
 'Other' 'Other' 'Other' 'event_name' 'event_name']",50,calendar_set,calendar,2.76,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
13499,dev/84a0dfcd11a34b122a3ee77e2ed980e5.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,làm ơn tìm từ này,làm ơn tìm từ này,['làm' 'ơn' 'tìm' 'từ' 'này'],['Other' 'Other' 'Other' 'Other' 'Other'],26,qa_definition,qa,2.58,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
14775,dev/c850ead525c66b9f1cbb05053ccf134d.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,giá cổ phiếu hòa phát là gì,giá cổ phiếu [business_name : hòa phát] là gì,['giá' 'cổ' 'phiếu' 'hòa' 'phát' 'là' 'gì'],['Other' 'Other' 'Other' 'business_name' 'business_name' 'Other' 'Other'],4,qa_stock,qa,2.4,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
7675,dev/d49df1f59ec84b515d9f6dcf4e0ec3df.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,nhắc tôi về cuộc họp tiếp theo vào lúc bốn giờ sáng hôm nay,nhắc tôi về [event_name : cuộc họp] tiếp theo vào lúc [time : bốn giờ sáng] [date : hôm nay],"['nhắc' 'tôi' 'về' 'cuộc' 'họp' 'tiếp' 'theo' 'vào' 'lúc' 'bốn' 'giờ'
 'sáng' 'hôm' 'nay']","['Other' 'Other' 'Other' 'event_name' 'event_name' 'Other' 'Other' 'Other'
 'Other' 'time' 'time' 'time' 'date' 'date']",50,calendar_set,calendar,4.5,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
6136,dev/862d785635792a411b9637ac934d9985.wav,validation,TRAIN,vi-VN,6552b16899091e4aaa587d1b,exp_svm_spk_0001,Male,33,chọc tôi cười đi,chọc tôi cười đi,['chọc' 'tôi' 'cười' 'đi'],['Other' 'Other' 'Other' 'Other'],25,general_joke,general,1.68,48000,1,True,SVM_CLOSED_SET,TRAIN,,exp_svm_spk_0001
